Year;Sex;Age;Total
2015;Konur; 26 ára;788
2015;Konur; 27 ára;664
2015;Konur; 28 ára;523
2015;Konur; 29 ára;444
2016;Alls;16 ára;4219
2016;Alls; 17 ára;3848
2016;Alls; 18 ára;3609
2016;Alls; 19 ára;3193
2016;Alls; 20 ára;2223
2016;Alls; 21 ára;2300
2016;Alls; 22 ára;2374
2016;Alls; 23 ára;2223
2016;Alls; 24 ára;1859
2016;Alls; 25 ára;1634
2016;Alls; 26 ára;1424
2016;Alls; 27 ára;1223
2016;Alls; 28 ára;1020
2016;Alls; 29 ára;803
2016;Karlar;16 ára;2127
2016;Karlar; 17 ára;1881
2016;Karlar; 18 ára;1789
2016;Karlar; 19 ára;1598
2016;Karlar; 20 ára;1165
2016;Karlar; 21 ára;1104
2016;Karlar; 22 ára;1063
2016;Karlar; 23 ára;966
2016;Karlar; 24 ára;797
2016;Karlar; 25 ára;771
2016;Karlar; 26 ára;626
2016;Karlar; 27 ára;539
2016;Karlar; 28 ára;460
2016;Karlar; 29 ára;370
2016;Konur;16 ára;2092
2016;Konur; 17 ára;1967
2016;Konur; 18 ára;1820
2016;Konur; 19 ára;1595
2016;Konur; 20 ára;1058
2016;Konur; 21 ára;1196
2016;Konur; 22 ára;1311
2016;Konur; 23 ára;1257
2016;Konur; 24 ára;1062
2016;Konur; 25 ára;863
2016;Konur; 26 ára;798
2016;Konur; 27 ára;684
2016;Konur; 28 ára;560
2016;Konur; 29 ára;433
2017;Alls;16 ára;4062
2017;Alls; 17 ára;3961
2017;Alls; 18 ára;3628
2017;Alls; 19 ára;3142
2017;Alls; 20 ára;2234
2017;Alls; 21 ára;2311
2017;Alls; 22 ára;2245
2017;Alls; 23 ára;2184
2017;Alls; 24 ára;1926
2017;Alls; 25 ára;1632
2017;Alls; 26 ára;1391
2017;Alls; 27 ára;1241
2017;Alls; 28 ára;1076
2017;Alls; 29 ára;908
2017;Karlar;16 ára;2077
2017;Karlar; 17 ára;1994
2017;Karlar; 18 ára;1746
2017;Karlar; 19 ára;1546
2017;Karlar; 20 ára;1178
2017;Karlar; 21 ára;1103
2017;Karlar; 22 ára;1039
2017;Karlar; 23 ára;986
2017;Karlar; 24 ára;832
2017;Karlar; 25 ára;716
2017;Karlar; 26 ára;623
2017;Karlar; 27 ára;527
2017;Karlar; 28 ára;453
2017;Karlar; 29 ára;391
2017;Konur;16 ára;1985
2017;Konur; 17 ára;1967
2017;Konur; 18 ára;1882
2017;Konur; 19 ára;1596
2017;Konur; 20 ára;1056
2017;Konur; 21 ára;1208
2017;Konur; 22 ára;1206
2017;Konur; 23 ára;1198
2017;Konur; 24 ára;1094
2017;Konur; 25 ára;916
2017;Konur; 26 ára;768
2017;Konur; 27 ára;714
2017;Konur; 28 ára;623
2017;Konur; 29 ára;517
2018;Alls;16 ára;4021
2018;Alls; 17 ára;3866
2018;Alls; 18 ára;3681
2018;Alls; 19 ára;2701
2018;Alls; 20 ára;2224
2018;Alls; 21 ára;2325
2018;Alls; 22 ára;2269
2018;Alls; 23 ára;2093
2018;Alls; 24 ára;1845
2018;Alls; 25 ára;1638
2018;Alls; 26 ára;1414
2018;Alls; 27 ára;1157
2018;Alls; 28 ára;1084
2018;Alls; 29 ára;942
2018;Karlar;16 ára;1995
2018;Karlar; 17 ára;1958
2018;Karlar; 18 ára;1802
2018;Karlar; 19 ára;1351
2018;Karlar; 20 ára;1103
2018;Karlar; 21 ára;1091
2018;Karlar; 22 ára;1042
2018;Karlar; 23 ára;938
2018;Karlar; 24 ára;798
2018;Karlar; 25 ára;717
2018;Karlar; 26 ára;617
2018;Karlar; 27 ára;501
2018;Karlar; 28 ára;468
2018;Karlar; 29 ára;376
2018;Konur;16 ára;2026
2018;Konur; 17 ára;1908
2018;Konur; 18 ára;1879
2018;Konur; 19 ára;1350
2018;Konur; 20 ára;1121
2018;Konur; 21 ára;1234
2018;Konur; 22 ára;1227
2018;Konur; 23 ára;1155
2018;Konur; 24 ára;1047
2018;Konur; 25 ára;921
2018;Konur; 26 ára;797
2018;Konur; 27 ára;656
2018;Konur; 28 ára;616
2018;Konur; 29 ára;566
